1000,766.066,735.633,706.409,678.412,651.65,626.129,601.849,578.805,556.985,536.376,516.958,498.707,481.596,465.595,450.668,436.78,423.891,411.96,400.946,390.804,381.49,372.958,365.165,358.064,351.613,345.766,340.483,335.722,331.442,327.607,324.178,321.122,318.405,315.997,313.869,311.993,310.343,308.898,307.634,306.533,305.576,304.747,304.03,303.412,302.882,302.427,302.038,301.708,301.427,301.189,300.988,300.818,300.676,300.557,300.458,300.375,300.307,300.25,300.203,300.165,300.133,300.107,300.086,300.069,300.055,300.044,300.035,300.028,300.022,300.017,300.014,300.011,300.008,300.006,300.005,300.004,300.003,300.002,300.002,300.001,300.001,300.001,300.001,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.998,299.998,299.998,299.998,299.997,299.997,299.997,299.996,299.996,299.995,299.994,299.994,299.993,299.992,299.991,299.99,299.989,299.987,299.986,299.984,299.983,299.981,299.979,299.976,299.974,299.971,299.968,299.965,299.962,299.958,299.954,299.95,299.945,299.94,299.935,299.929,299.923,299.916,299.909,299.902,299.894,299.886,299.877,299.867,299.858,299.847,299.836,299.825,299.813,299.8,299.787,299.773,299.759,299.743,299.728,299.712,299.695,299.677,299.659,299.641,299.621,299.601
2000,866.521,840.202,814.617,789.773,765.675,742.329,719.736,697.897,676.814,656.483,636.901,618.063,599.964,582.595,565.947,550.01,534.774,520.225,506.35,493.134,480.563,468.62,457.288,446.551,436.39,426.787,417.723,409.179,401.136,393.575,386.476,379.82,373.588,367.761,362.319,357.245,352.519,348.124,344.042,340.256,336.75,333.508,330.513,327.75,325.206,322.866,320.716,318.745,316.94,315.288,313.78,312.404,311.151,310.012,308.977,308.039,307.189,306.421,305.727,305.101,304.538,304.031,303.576,303.168,302.803,302.477,302.186,301.926,301.695,301.49,301.307,301.146,301.003,300.877,300.765,300.667,300.581,300.505,300.438,300.38,300.329,300.285,300.246,300.212,300.183,300.158,300.136,300.117,300.101,300.087,300.075,300.065,300.057,300.05,300.045,300.04,300.037,300.035,300.034,300.033,300.029,300.025,300.022,300.019,300.017,300.015,300.013,300.011,300.01,300.008,300.007,300.006,300.005,300.005,300.004,300.003,300.003,300.003,300.002,300.002,300.002,300.001,300.001,300.001,300.001,300.001,300.001,300.001,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.998,299.998,299.998,299.998,299.998,299.998,299.997,299.997,299.997,299.996,299.996,299.996,299.995,299.995,299.994,299.994,299.993,299.993,299.992,299.991,299.991,299.99,299.989,299.988,299.987,299.986,299.985,299.984,299.982,299.981,299.979,299.978,299.976,299.974,299.972,299.97,299.968,299.966,299.963,299.961,299.958,299.955,299.952,299.948,299.945,299.941,299.937,299.933,299.929,299.924,299.92,299.915,299.91,299.904,299.898,299.892,299.886,299.879,299.873,299.865,299.858,299.85,299.842,299.834,299.825,299.816,299.807,299.797,299.787,299.776,299.766,299.754,299.743,299.731,299.719,299.706,299.693,299.679,299.666,299.651,299.637,299.622,299.607,299.591,299.575,299.558,299.542,299.524,299.507,299.489,299.471
3000,925.901,902.031,878.708,855.937,833.721,812.063,790.964,770.425,750.447,731.03,712.172,693.871,676.125,658.931,642.286,626.183,610.619,595.588,581.083,567.097,553.623,540.654,528.18,516.192,504.683,493.641,483.057,472.921,463.222,453.95,445.093,436.639,428.579,420.899,413.589,406.637,400.032,393.761,387.813,382.176,376.84,371.792,367.021,362.516,358.267,354.261,350.49,346.941,343.606,340.475,337.536,334.782,332.203,329.79,327.534,325.428,323.463,321.631,319.926,318.339,316.864,315.494,314.223,313.046,311.955,310.947,310.015,309.154,308.36,307.629,306.956,306.337,305.768,305.247,304.769,304.331,303.931,303.565,303.232,302.928,302.652,302.401,302.174,301.968,301.783,301.616,301.466,301.332,301.213,301.108,301.015,300.934,300.865,300.806,300.756,300.717,300.686,300.664,300.65,300.645,300.588,300.535,300.487,300.443,300.402,300.365,300.332,300.301,300.273,300.247,300.224,300.203,300.183,300.166,300.15,300.135,300.122,300.11,300.099,300.09,300.081,300.073,300.065,300.059,300.053,300.047,300.043,300.038,300.034,300.031,300.027,300.025,300.022,300.02,300.018,300.016,300.014,300.012,300.011,300.01,300.009,300.008,300.007,300.006,300.006,300.005,300.004,300.004,300.003,300.003,300.003,300.002,300.002,300.002,300.002,300.001,300.001,300.001,300.001,300.001,300.001,300.001,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.999,299.998,299.998,299.998,299.998,299.998,299.998,299.997,299.997,299.997,299.997,299.996,299.996,299.996,299.996,299.995,299.995,299.994,299.994,299.994,299.993,299.993,299.992,299.991,299.991,299.99,299.99,299.989,299.988,299.987,299.986,299.985,299.984,299.983,299.982,299.981,299.98,299.979,299.977,299.976,299.974,299.973,299.971,299.969,299.967,299.965,299.963,299.961,299.959,299.956,299.954,299.951,299.948,299.945,299.942,299.939,299.936,299.932,299.929,299.925,299.921,299.917,299.913,299.908,299.904,299.899,299.894,299.889,299.883,299.878,299.872,299.866,299.86,299.853,299.847,299.84,299.833,299.825,299.818,299.81,299.802,299.793,299.785,299.776,299.766,299.757,299.747,299.737,299.727,299.717,299.706,299.695,299.684,299.672,299.66,299.648,299.635,299.623,299.609,299.596,299.582,299.569,299.554,299.54,299.525,299.51,299.495,299.479,299.463,299.447,299.431,299.414,299.397,299.38
4000,967.253,945.092,923.379,902.114,881.301,860.941,841.034,821.58,802.581,784.036,765.945,748.305,731.116,714.376,698.083,682.233,666.825,651.854,637.318,623.211,609.529,596.268,583.423,570.988,558.957,547.325,536.086,525.232,514.758,504.657,494.921,485.543,476.516,467.833,459.485,451.466,443.766,436.378,429.295,422.508,416.009,409.789,403.842,398.158,392.73,387.55,382.61,377.901,373.416,369.148,365.088,361.229,357.564,354.085,350.786,347.658,344.696,341.892,339.241,336.734,334.367,332.133,330.026,328.041,326.171,324.412,322.759,321.205,319.747,318.379,317.098,315.898,314.776,313.727,312.749,311.836,310.987,310.197,309.463,308.782,308.152,307.569,307.032,306.538,306.084,305.669,305.291,304.947,304.637,304.358,304.11,303.891,303.7,303.535,303.397,303.283,303.194,303.129,303.088,303.07,302.854,302.653,302.465,302.289,302.125,301.972,301.829,301.696,301.572,301.456,301.348,301.248,301.155,301.068,300.987,300.913,300.843,300.778,300.718,300.663,300.611,300.563,300.519,300.478,300.44,300.405,300.373,300.343,300.315,300.289,300.266,300.244,300.224,300.205,300.188,300.172,300.158,300.145,300.132,300.121,300.111,300.101,300.092,300.084,300.077,300.07,300.064,300.058,300.053,300.048,300.044,300.04,300.036,300.033,300.03,300.027,300.024,300.022,300.02,300.018,300.016,300.014,300.013,300.012,300.01,300.009,300.008,300.007,300.006,300.005,300.004,300.004,300.003,300.002,300.002,300.001,300.001,300,300,299.999,299.999,299.998,299.998,299.997,299.997,299.996,299.996,299.995,299.995,299.994,299.994,299.993,299.993,299.992,299.992,299.991,299.991,299.99,299.989,299.989,299.988,299.987,299.986,299.985,299.984,299.984,299.983,299.982,299.98,299.979,299.978,299.977,299.976,299.974,299.973,299.971,299.97,299.968,299.967,299.965,299.963,299.961,299.959,299.957,299.955,299.953,299.95,299.948,299.945,299.942,299.94,299.937,299.934,299.931,299.927,299.924,299.921,299.917,299.913,299.909,299.905,299.901,299.897,299.892,299.888,299.883,299.878,299.873,299.868,299.862,299.857,299.851,299.845,299.839,299.833,299.826,299.819,299.812,299.805,299.798,299.791,299.783,299.775,299.767,299.759,299.75,299.741,299.732,299.723,299.714,299.704,299.694,299.684,299.674,299.663,299.653,299.642,299.63,299.619,299.607,299.595,299.583,299.571,299.558,299.545,299.532,299.519,299.506,299.492,299.478,299.464,299.449,299.435,299.42,299.405,299.389,299.374,299.358,299.342,299.326,299.31
5000,998.5,977.633,957.15,937.051,917.338,898.011,879.071,860.518,842.35,824.569,807.173,790.162,773.534,757.288,741.423,725.936,710.825,696.089,681.723,667.727,654.096,640.827,627.918,615.363,603.16,591.304,579.791,568.617,557.776,547.265,537.078,527.21,517.656,508.411,499.469,490.825,482.473,474.408,466.623,459.113,451.871,444.893,438.172,431.701,425.475,419.488,413.734,408.207,402.9,397.808,392.925,388.244,383.76,379.467,375.36,371.431,367.677,364.091,360.668,357.402,354.289,351.322,348.497,345.809,343.252,340.823,338.517,336.328,334.253,332.287,330.426,328.666,327.004,325.434,323.955,322.561,321.251,320.02,318.865,317.784,316.773,315.83,314.953,314.138,313.384,312.688,312.048,311.463,310.93,310.448,310.015,309.63,309.291,308.998,308.75,308.545,308.382,308.261,308.182,308.143,307.667,307.217,306.791,306.388,306.007,305.647,305.306,304.985,304.682,304.396,304.125,303.871,303.63,303.404,303.191,302.99,302.8,302.622,302.455,302.297,302.149,302.01,301.879,301.756,301.64,301.532,301.43,301.335,301.246,301.162,301.083,301.01,300.941,300.876,300.816,300.759,300.707,300.657,300.611,300.568,300.528,300.49,300.455,300.422,300.392,300.363,300.337,300.312,300.289,300.268,300.248,300.229,300.212,300.196,300.181,300.167,300.154,300.142,300.131,300.121,300.111,300.102,300.094,300.086,300.079,300.072,300.066,300.06,300.055,300.05,300.045,300.041,300.037,300.033,300.029,300.026,300.023,300.02,300.017,300.015,300.012,300.01,300.008,300.006,300.004,300.002,300,299.998,299.997,299.995,299.993,299.992,299.99,299.989,299.987,299.986,299.984,299.983,299.981,299.98,299.978,299.977,299.975,299.974,299.972,299.97,299.969,299.967,299.965,299.963,299.961,299.959,299.957,299.955,299.953,299.951,299.948,299.946,299.944,299.941,299.938,299.936,299.933,299.93,299.927,299.924,299.921,299.917,299.914,299.91,299.907,299.903,299.899,299.895,299.891,299.887,299.883,299.878,299.873,299.869,299.864,299.859,299.854,299.848,299.843,299.837,299.831,299.825,299.819,299.813,299.807,299.8,299.793,299.786,299.779,299.772,299.765,299.757,299.749,299.741,299.733,299.725,299.716,299.708,299.699,299.69,299.68,299.671,299.661,299.652,299.641,299.631,299.621,299.61,299.599,299.588,299.577,299.566,299.554,299.543,299.531,299.518,299.506,299.493,299.481,299.468,299.455,299.441,299.428,299.414,299.4,299.386,299.372,299.358,299.343,299.328,299.313,299.298,299.283,299.268,299.252
6000,1023.33,1003.49,983.99,964.832,946.014,927.537,909.4,891.602,874.145,857.026,840.245,823.802,807.695,791.924,776.486,761.38,746.605,732.158,718.038,704.243,690.769,677.616,664.779,652.257,640.046,628.144,616.547,605.252,594.256,583.554,573.144,563.021,553.182,543.623,534.339,525.327,516.582,508.1,499.877,491.908,484.188,476.714,469.48,462.482,455.716,449.176,442.858,436.757,430.869,425.188,419.71,414.431,409.346,404.449,399.737,395.204,390.847,386.66,382.64,378.781,375.079,371.531,368.131,364.876,361.762,358.783,355.938,353.221,350.628,348.157,345.803,343.563,341.434,339.412,337.493,335.676,333.956,332.331,330.798,329.354,327.997,326.724,325.533,324.421,323.386,322.427,321.54,320.725,319.98,319.303,318.692,318.146,317.663,317.244,316.886,316.588,316.35,316.17,316.049,315.986,315.179,314.41,313.676,312.976,312.308,311.672,311.066,310.488,309.938,309.415,308.916,308.442,307.991,307.562,307.154,306.766,306.398,306.048,305.715,305.4,305.1,304.816,304.546,304.291,304.048,303.819,303.601,303.395,303.199,303.014,302.84,302.674,302.517,302.369,302.229,302.097,301.972,301.854,301.742,301.637,301.538,301.444,301.355,301.272,301.193,301.119,301.049,300.983,300.921,300.863,300.808,300.756,300.708,300.662,300.619,300.579,300.541,300.505,300.471,300.44,300.41,300.382,300.356,300.332,300.309,300.287,300.267,300.248,300.23,300.213,300.197,300.182,300.168,300.155,300.143,300.132,300.121,300.111,300.101,300.092,300.084,300.076,300.068,300.061,300.054,300.048,300.042,300.036,300.031,300.025,300.02,300.016,300.011,300.007,300.003,299.999,299.995,299.991,299.987,299.984,299.98,299.977,299.974,299.97,299.967,299.964,299.961,299.957,299.954,299.951,299.948,299.945,299.941,299.938,299.935,299.932,299.928,299.925,299.921,299.918,299.914,299.911,299.907,299.903,299.899,299.895,299.891,299.887,299.883,299.878,299.874,299.869,299.865,299.86,299.855,299.85,299.845,299.84,299.834,299.829,299.823,299.817,299.812,299.806,299.799,299.793,299.787,299.78,299.773,299.766,299.759,299.752,299.745,299.738,299.73,299.722,299.714,299.706,299.698,299.689,299.681,299.672,299.663,299.654,299.645,299.636,299.626,299.616,299.606,299.596,299.586,299.576,299.565,299.554,299.543,299.532,299.521,299.51,299.498,299.486,299.474,299.462,299.45,299.438,299.425,299.412,299.399,299.386,299.373,299.36,299.346,299.333,299.319,299.305,299.291,299.276,299.262,299.247,299.233,299.218,299.203
7000,1043.75,1024.75,1006.07,987.695,969.626,951.864,934.408,917.258,900.413,883.872,867.636,851.701,836.069,820.736,805.704,790.968,776.53,762.386,748.535,734.976,721.706,708.723,696.026,683.612,671.479,659.625,648.046,636.74,625.706,614.939,604.437,594.197,584.217,574.492,565.02,555.798,546.822,538.089,529.595,521.337,513.312,505.516,497.945,490.596,483.465,476.549,469.843,463.344,457.048,450.951,445.051,439.342,433.821,428.485,423.329,418.35,413.545,408.909,404.439,400.131,395.982,391.989,388.146,384.452,380.903,377.495,374.226,371.091,368.087,365.213,362.463,359.836,357.329,354.938,352.662,350.496,348.439,346.488,344.641,342.894,341.247,339.696,338.239,336.875,335.602,334.417,333.319,332.306,331.377,330.529,329.763,329.075,328.466,327.933,327.476,327.095,326.787,326.552,326.39,326.299,325.125,323.999,322.918,321.88,320.885,319.931,319.016,318.139,317.299,316.494,315.723,314.985,314.278,313.601,312.954,312.334,311.742,311.175,310.634,310.116,309.621,309.149,308.697,308.266,307.855,307.462,307.088,306.73,306.389,306.064,305.755,305.459,305.178,304.91,304.655,304.412,304.18,303.96,303.751,303.551,303.362,303.182,303.01,302.848,302.693,302.546,302.407,302.274,302.148,302.029,301.916,301.808,301.707,301.61,301.518,301.432,301.349,301.272,301.198,301.128,301.062,300.999,300.94,300.883,300.83,300.78,300.733,300.688,300.645,300.605,300.567,300.531,300.497,300.465,300.434,300.405,300.378,300.353,300.328,300.305,300.284,300.263,300.244,300.225,300.208,300.191,300.175,300.161,300.147,300.133,300.12,300.108,300.097,300.086,300.076,300.066,300.056,300.047,300.038,300.03,300.022,300.014,300.007,300,299.993,299.986,299.98,299.973,299.967,299.961,299.955,299.949,299.944,299.938,299.933,299.927,299.922,299.916,299.911,299.906,299.901,299.895,299.89,299.885,299.879,299.874,299.869,299.863,299.858,299.852,299.847,299.841,299.835,299.83,299.824,299.818,299.812,299.806,299.799,299.793,299.787,299.78,299.774,299.767,299.76,299.753,299.746,299.739,299.732,299.724,299.717,299.709,299.701,299.693,299.685,299.677,299.668,299.66,299.651,299.642,299.634,299.625,299.615,299.606,299.596,299.587,299.577,299.567,299.557,299.547,299.537,299.526,299.515,299.505,299.494,299.483,299.471,299.46,299.448,299.437,299.425,299.413,299.401,299.389,299.376,299.364,299.351,299.338,299.325,299.312,299.299,299.286,299.272,299.259,299.245,299.231,299.217,299.203,299.189,299.174,299.16
8000,1060.98,1042.71,1024.71,1007,989.575,972.427,955.56,938.973,922.664,906.634,890.881,875.404,860.202,845.274,830.619,816.235,802.122,788.277,774.7,761.388,748.34,735.555,723.03,710.764,698.755,687.001,675.5,664.249,653.247,642.491,631.978,621.708,611.676,601.881,592.321,582.991,573.891,565.016,556.365,547.934,539.722,531.724,523.938,516.362,508.991,501.824,494.857,488.087,481.511,475.127,468.931,462.92,457.091,451.441,445.967,440.666,435.535,430.571,425.771,421.132,416.651,412.325,408.151,404.127,400.25,396.516,392.923,389.469,386.151,382.965,379.91,376.983,374.181,371.503,368.945,366.506,364.183,361.974,359.877,357.889,356.01,354.236,352.566,350.999,349.532,348.164,346.894,345.719,344.638,343.651,342.755,341.949,341.233,340.605,340.064,339.61,339.241,338.956,338.755,338.637,337.084,335.587,334.143,332.752,331.411,330.12,328.876,327.678,326.525,325.415,324.347,323.319,322.33,321.379,320.464,319.585,318.74,317.928,317.148,316.398,315.678,314.987,314.324,313.687,313.075,312.489,311.927,311.387,310.87,310.374,309.899,309.444,309.008,308.59,308.19,307.807,307.44,307.089,306.753,306.432,306.125,305.831,305.55,305.282,305.025,304.78,304.546,304.322,304.108,303.904,303.71,303.524,303.347,303.178,303.016,302.863,302.716,302.576,302.443,302.316,302.195,302.08,301.97,301.866,301.766,301.671,301.581,301.495,301.414,301.336,301.262,301.192,301.125,301.062,301.001,300.944,300.889,300.837,300.788,300.741,300.696,300.654,300.613,300.575,300.538,300.504,300.471,300.439,300.41,300.381,300.354,300.328,300.304,300.281,300.258,300.237,300.217,300.198,300.179,300.162,300.145,300.129,300.113,300.099,300.085,300.071,300.058,300.045,300.033,300.022,300.01,300,299.989,299.979,299.969,299.959,299.95,299.941,299.932,299.923,299.915,299.906,299.898,299.89,299.882,299.874,299.866,299.859,299.851,299.843,299.836,299.828,299.821,299.813,299.806,299.798,299.791,299.783,299.776,299.768,299.76,299.753,299.745,299.737,299.729,299.722,299.714,299.705,299.697,299.689,299.681,299.672,299.664,299.655,299.647,299.638,299.629,299.62,299.611,299.602,299.592,299.583,299.574,299.564,299.554,299.544,299.534,299.524,299.514,299.503,299.493,299.482,299.472,299.461,299.45,299.439,299.427,299.416,299.404,299.393,299.381,299.369,299.357,299.345,299.333,299.321,299.308,299.296,299.283,299.27,299.257,299.244,299.231,299.218,299.204,299.191,299.177,299.164,299.15,299.136,299.122
9000,1075.84,1058.18,1040.78,1023.65,1006.78,990.171,973.821,957.731,941.899,926.324,911.006,895.943,881.134,866.579,852.275,838.222,824.419,810.864,797.556,784.493,771.674,759.098,746.762,734.666,722.808,711.186,699.798,688.642,677.717,667.021,656.551,646.307,636.285,626.484,616.901,607.535,598.383,589.444,580.714,572.192,563.875,555.761,547.848,540.133,532.614,525.288,518.153,511.207,504.447,497.87,491.475,485.258,479.217,473.35,467.654,462.127,456.766,451.569,446.533,441.656,436.935,432.369,427.954,423.688,419.569,415.595,411.763,408.072,404.518,401.1,397.815,394.662,391.638,388.741,385.97,383.322,380.795,378.388,376.099,373.925,371.866,369.92,368.084,366.358,364.74,363.228,361.821,360.518,359.317,358.217,357.217,356.316,355.513,354.807,354.196,353.68,353.259,352.93,352.694,352.55,350.621,348.755,346.95,345.204,343.516,341.883,340.306,338.781,337.308,335.884,334.509,333.181,331.899,330.661,329.466,328.313,327.2,326.127,325.091,324.093,323.13,322.202,321.307,320.445,319.615,318.814,318.044,317.302,316.587,315.899,315.237,314.6,313.987,313.398,312.831,312.285,311.761,311.257,310.773,310.308,309.861,309.431,309.019,308.623,308.243,307.878,307.528,307.192,306.87,306.56,306.264,305.98,305.707,305.446,305.196,304.956,304.726,304.506,304.295,304.093,303.9,303.715,303.538,303.369,303.207,303.052,302.903,302.762,302.626,302.496,302.372,302.254,302.141,302.033,301.929,301.83,301.736,301.646,301.56,301.478,301.399,301.324,301.253,301.184,301.119,301.057,300.998,300.941,300.887,300.835,300.785,300.738,300.693,300.65,300.609,300.57,300.532,300.497,300.462,300.43,300.398,300.368,300.34,300.312,300.286,300.261,300.237,300.213,300.191,300.17,300.149,300.13,300.111,300.093,300.075,300.058,300.042,300.026,300.011,299.996,299.982,299.968,299.954,299.941,299.928,299.916,299.904,299.892,299.88,299.869,299.858,299.847,299.836,299.825,299.815,299.805,299.794,299.784,299.774,299.765,299.755,299.745,299.735,299.726,299.716,299.706,299.697,299.687,299.678,299.668,299.659,299.649,299.639,299.63,299.62,299.61,299.601,299.591,299.581,299.571,299.561,299.551,299.541,299.53,299.52,299.51,299.499,299.489,299.478,299.467,299.457,299.446,299.435,299.424,299.412,299.401,299.39,299.378,299.367,299.355,299.343,299.332,299.32,299.308,299.296,299.283,299.271,299.259,299.246,299.234,299.221,299.208,299.195,299.182,299.169,299.156,299.143,299.129,299.116,299.102,299.089
10000,1088.87,1071.75,1054.88,1038.26,1021.88,1005.75,989.864,974.219,958.815,943.652,928.729,914.044,899.597,885.387,871.412,857.671,844.163,830.886,817.84,805.023,792.434,780.071,767.934,756.02,744.328,732.857,721.605,710.571,699.753,689.149,678.758,668.578,658.608,648.845,639.288,629.935,620.785,611.834,603.083,594.528,586.167,578,570.023,562.236,554.635,547.219,539.986,532.933,526.06,519.363,512.841,506.492,500.313,494.303,488.459,482.78,477.263,471.907,466.708,461.667,456.779,452.043,447.458,443.022,438.731,434.585,430.581,426.719,422.994,419.407,415.955,412.636,409.448,406.391,403.461,400.658,397.98,395.425,392.991,390.678,388.483,386.406,384.444,382.597,380.862,379.24,377.728,376.325,375.031,373.843,372.761,371.785,370.912,370.142,369.475,368.908,368.442,368.076,367.808,367.639,365.348,363.125,360.969,358.877,356.849,354.883,352.977,351.129,349.339,347.604,345.923,344.295,342.718,341.191,339.712,338.281,336.896,335.555,334.258,333.004,331.79,330.616,329.481,328.384,327.323,326.298,325.308,324.351,323.426,322.533,321.671,320.838,320.034,319.258,318.51,317.787,317.09,316.418,315.769,315.144,314.541,313.96,313.4,312.86,312.34,311.839,311.356,310.891,310.443,310.013,309.598,309.199,308.814,308.445,308.089,307.747,307.418,307.102,306.798,306.506,306.225,305.955,305.695,305.446,305.207,304.977,304.756,304.544,304.341,304.146,303.958,303.778,303.606,303.44,303.281,303.129,302.983,302.843,302.708,302.58,302.456,302.338,302.224,302.116,302.011,301.912,301.816,301.724,301.637,301.552,301.472,301.395,301.321,301.25,301.182,301.117,301.055,300.995,300.938,300.883,300.831,300.78,300.732,300.686,300.642,300.599,300.558,300.519,300.482,300.446,300.411,300.378,300.346,300.315,300.286,300.257,300.23,300.204,300.178,300.154,300.13,300.108,300.086,300.064,300.044,300.024,300.005,299.986,299.968,299.951,299.933,299.917,299.901,299.885,299.87,299.855,299.84,299.826,299.812,299.798,299.784,299.771,299.758,299.745,299.732,299.72,299.708,299.695,299.683,299.671,299.659,299.648,299.636,299.624,299.613,299.601,299.59,299.579,299.567,299.556,299.545,299.533,299.522,299.511,299.499,299.488,299.477,299.465,299.454,299.442,299.431,299.42,299.408,299.396,299.385,299.373,299.361,299.35,299.338,299.326,299.314,299.302,299.29,299.278,299.265,299.253,299.241,299.228,299.216,299.203,299.191,299.178,299.165,299.153,299.14,299.127,299.114,299.101,299.088,299.074,299.061
