"time","temper","val"
0,24,0.0421
1015,24,0.0419
2015,24,0.0307
3015,24,0.0232
4000,24,0.0153
5015,24,0.0144
6015,24,0.0171
7000,24,0.0169
8000,24,0.0174
9015,24,0.0311
10015,24,0.0389
11000,24,0.0355
12000,24,0.0310
13000,24,0.0303
14015,24,0.0323
15000,24,0.0272
16015,24,0.0286
17000,24,0.0287
18000,24,0.0280
19015,24,0.0340
20000,24,0.0495
21000,24,0.0612
22000,24,0.0609
23015,24,0.0598
24000,24,0.1282
25000,24,0.2434
26015,24,0.3226
27000,24,0.3241
28000,24,0.3187
29000,24,0.3286
30000,24,0.3371
31000,24,0.3504
32015,24,0.3728
33000,24,0.4188
34000,24,0.4813
35000,24,0.5757
36000,24,0.8169
37000,24,1.5081
38000,24,2.5114
39015,24,2.7735
40015,24,2.0740
41015,24,1.3091
42000,24,0.9464
43015,24,0.8516
44000,24,0.8062
45000,24,0.7233
46000,24,0.8393
47015,24,1.0312
48015,24,1.0230
49000,24,0.7437
50000,24,0.4716
51015,24,0.3547
52000,24,0.2197
53015,24,-0.1030
54000,24,-0.3720
55000,24,-0.6182
56015,24,-0.9271
57015,24,-1.3094
58015,24,-1.8122
59000,24,-2.5932
60015,24,-4.0439
61015,24,-6.8401
62000,24,-12.0467
63000,24,-21.5859
64015,24,-36.9992
65015,24,-58.9268
66015,24,-84.7367
67000,24,-110.7470
68015,24,-132.9839
69015,24,-148.9848
70015,24,-159.4854
71000,24,-165.3751
72000,24,-167.6571
73000,24,-167.1692
74015,24,-164.4943
75000,24,-160.2458
76015,24,-154.9017
77015,24,-149.0096
78000,24,-142.8387
79015,24,-136.6189
80000,24,-130.6775
81000,24,-124.9326
82015,24,-119.6260
83000,24,-114.6231
84015,24,-110.1363
85000,24,-106.2625
86015,24,-102.8572
87000,24,-99.7355
88000,24,-96.4629
89015,24,-92.8547
90000,24,-89.0443
91015,24,-85.1884
92000,24,-81.4720
93015,24,-78.1707
94015,24,-75.2648
95015,24,-72.7905
96015,24,-70.5908
97015,24,-68.6273
98000,24,-66.8072
99000,24,-65.0433
100015,24,-63.2940
101015,24,-61.4972
102000,24,-59.6233
103015,24,-57.6821
104015,24,-55.7639
105000,24,-53.9220
106015,24,-52.0872
107000,24,-50.4068
108000,24,-48.7667
109000,24,-47.2612
110000,24,-45.7411
111015,24,-44.2607
112015,24,-42.7124
113000,24,-41.2156
114015,24,-39.6758
115000,24,-38.2307
116015,24,-36.7831
117000,24,-35.4272
118015,24,-34.1539
119000,24,-32.9109
120000,24,-31.7941
121000,24,-30.6903
122015,24,-29.6843
123000,24,-28.7043
124000,24,-27.7537
125000,24,-26.8634
126000,24,-26.0030
127015,24,-25.1641
128015,24,-24.3888
129000,24,-23.6420
130000,24,-22.9099
131000,24,-22.2118
132015,24,-21.5350
133000,24,-20.9002
134000,24,-20.2903
135015,24,-19.6934
136000,24,-19.1102
137015,24,-18.5425
138000,24,-17.9864
139015,24,-17.4367
140015,24,-16.9043
141015,24,-16.4345
142000,24,-15.9829
143015,24,-15.5432
144000,24,-15.1249
145000,24,-14.7278
146015,24,-14.3327
147000,24,-13.9420
148015,24,-13.5585
149000,24,-13.1994
150000,24,-12.8439
151000,24,-12.5112
152000,24,-12.1915
153000,24,-11.8688
154000,24,-11.5522
155000,24,-11.2463
156000,24,-10.9501
157000,24,-10.6585
158015,24,-10.3886
159000,24,-10.1437
160015,24,-9.9089
161000,24,-9.6664
162000,24,-9.4300
163000,24,-9.1784
164000,24,-8.9297
165000,24,-8.7017
166015,24,-8.4736
167000,24,-8.2604
168015,24,-8.0580
169000,24,-7.8823
170000,24,-7.7149
171015,24,-7.5378
172000,24,-7.3592
173015,24,-7.1804
174015,24,-6.9988
175000,24,-6.8254
176000,24,-6.6610
177000,24,-6.5192
178000,24,-6.3951
