### DATA:
#
# 1150
#      Q             I(Q)           Error
6.43264042E-03  9.84925537E+01  3.95956230E+00
6.82249742E-03  8.35494690E+01  3.14264441E+00
7.21235441E-03  7.11620178E+01  2.62414694E+00
7.60221141E-03  6.35132446E+01  2.22942519E+00
7.99206840E-03  5.61747284E+01  1.98382378E+00
8.38192540E-03  4.68829498E+01  1.76953816E+00
8.77178240E-03  4.27607422E+01  1.59647644E+00
9.16163939E-03  3.94400330E+01  1.45741856E+00
9.55149639E-03  3.41149750E+01  1.32613444E+00
9.94135338E-03  3.04968338E+01  1.21366060E+00
1.03312104E-02  2.88625259E+01  1.12316203E+00
1.07210674E-02  2.81582642E+01  1.04117918E+00
1.11109244E-02  2.41991119E+01  9.69094098E-01
1.15007814E-02  2.27703094E+01  9.14063036E-01
1.18906384E-02  2.16926041E+01  8.52736413E-01
1.22804954E-02  2.21229782E+01  8.07605028E-01
1.26703523E-02  2.10064049E+01  7.60823011E-01
1.30602093E-02  1.90131950E+01  7.23843396E-01
1.34500663E-02  1.90350342E+01  6.92604542E-01
1.38399233E-02  1.80835953E+01  6.63422883E-01
1.42297803E-02  1.82415695E+01  6.34565651E-01
1.46196373E-02  1.66327820E+01  6.10305071E-01
1.50094943E-02  1.59185715E+01  5.83117723E-01
1.53993513E-02  1.55768089E+01  5.63443124E-01
1.57892083E-02  1.57360573E+01  5.45097172E-01
1.61790653E-02  1.60908737E+01  5.30725360E-01
1.65689223E-02  1.47128143E+01  5.10812700E-01
1.69587793E-02  1.43318176E+01  4.98010874E-01
1.73486363E-02  1.41478615E+01  4.87518579E-01
1.77384933E-02  1.36969147E+01  4.69520777E-01
1.81283503E-02  1.29013557E+01  4.60703462E-01
1.85182073E-02  1.25249596E+01  4.48278457E-01
1.89080643E-02  1.29867306E+01  4.40104038E-01
1.92979213E-02  1.26164150E+01  4.28337634E-01
1.96877783E-02  1.15198517E+01  4.19754088E-01
2.00776353E-02  1.11995468E+01  4.10258681E-01
2.04674923E-02  1.07087040E+01  4.02829796E-01
2.08573493E-02  9.75115013E+00  3.97148669E-01
2.12472062E-02  1.08495941E+01  3.88309509E-01
2.16370632E-02  1.07497158E+01  3.80459398E-01
2.20269202E-02  9.73178291E+00  3.72264892E-01
2.24167772E-02  9.96444130E+00  3.69055361E-01
2.28066342E-02  1.05857105E+01  3.62527907E-01
2.31964912E-02  9.71394920E+00  3.58118981E-01
2.35863482E-02  9.87004089E+00  3.55028570E-01
2.39762052E-02  8.69848824E+00  3.48164827E-01
2.43660622E-02  8.74781609E+00  3.42502236E-01
2.47559192E-02  8.71275520E+00  3.37811768E-01
2.51457762E-02  8.56659126E+00  3.34226400E-01
2.55356332E-02  8.41685104E+00  3.30983728E-01
2.59254902E-02  8.03290558E+00  3.25774997E-01
2.63153472E-02  8.53419495E+00  3.22693914E-01
2.67052042E-02  8.45216751E+00  3.19276392E-01
2.70950612E-02  8.54702377E+00  3.16576213E-01
2.74849182E-02  7.85662460E+00  3.12023520E-01
