### DATA:
#
# 1150
#      Q             I(Q)           Error     
6.43264042E-03  1.54411926E+02  4.07501888E+00
6.82249742E-03  1.39084290E+02  3.25087070E+00
7.21235441E-03  1.26913452E+02  2.73103094E+00
7.60221141E-03  1.18844849E+02  2.33688784E+00
7.99206840E-03  1.06303604E+02  2.08076358E+00
8.38192540E-03  1.00472214E+02  1.87722063E+00
8.77178240E-03  1.00484482E+02  1.71865404E+00
9.16163939E-03  9.68043365E+01  1.58105481E+00
9.55149639E-03  9.05707855E+01  1.45110476E+00
9.94135338E-03  8.69743271E+01  1.34155190E+00
1.03312104E-02  8.49908524E+01  1.25236440E+00
1.07210674E-02  8.27771378E+01  1.16779768E+00
1.11109244E-02  8.00496445E+01  1.10122836E+00
1.15007814E-02  7.63166122E+01  1.04192543E+00
1.18906384E-02  7.73793182E+01  9.89842534E-01
1.22804954E-02  7.70922775E+01  9.42176998E-01
1.26703523E-02  7.75271301E+01  9.02016342E-01
1.30602093E-02  7.45187225E+01  8.62481177E-01
1.34500663E-02  7.31459579E+01  8.27692568E-01
1.38399233E-02  7.39522934E+01  8.03463578E-01
1.42297803E-02  7.38650360E+01  7.73876309E-01
1.46196373E-02  7.17883530E+01  7.48562813E-01
1.50094943E-02  7.35263062E+01  7.29853749E-01
1.53993513E-02  7.33809662E+01  7.09871173E-01
1.57892083E-02  7.31755371E+01  6.90566242E-01
1.61790653E-02  7.29929352E+01  6.73672915E-01
1.65689223E-02  7.34758606E+01  6.59001231E-01
1.69587793E-02  7.31287079E+01  6.45178616E-01
1.73486363E-02  7.27685394E+01  6.34157658E-01
1.77384933E-02  7.22456818E+01  6.16678417E-01
1.81283503E-02  7.16961212E+01  6.07401192E-01
1.85182073E-02  7.17461090E+01  5.95134914E-01
1.89080643E-02  7.26884842E+01  5.87452650E-01
1.92979213E-02  7.08486786E+01  5.72131574E-01
1.96877783E-02  7.00630493E+01  5.63580275E-01
2.00776353E-02  7.04047318E+01  5.54991305E-01
2.04674923E-02  7.06036301E+01  5.47948718E-01
2.08573493E-02  6.98476105E+01  5.41244686E-01
2.12472062E-02  7.03346710E+01  5.30527651E-01
2.16370632E-02  6.96914444E+01  5.21310627E-01
2.20269202E-02  6.93190079E+01  5.14575839E-01
2.24167772E-02  6.95403061E+01  5.09814322E-01
2.28066342E-02  6.86309204E+01  4.99226063E-01
2.31964912E-02  6.78199997E+01  4.94703889E-01
2.35863482E-02  6.70842667E+01  4.87909138E-01
2.39762052E-02  6.71622238E+01  4.83735293E-01
2.43660622E-02  6.72251740E+01  4.77178097E-01
2.47559192E-02  6.65686798E+01  4.70918179E-01
2.51457762E-02  6.66879349E+01  4.66905147E-01
2.55356332E-02  6.60288544E+01  4.61282283E-01
2.59254902E-02  6.51094971E+01  4.55370903E-01
2.63153472E-02  6.46391754E+01  4.48994428E-01
2.67052042E-02  6.45775146E+01  4.45119947E-01
2.70950612E-02  6.38657455E+01  4.39621359E-01
2.74849182E-02  6.23933830E+01  4.33145881E-01
2.78747752E-02  6.19676399E+01  4.30327326E-01
2.82646322E-02  6.14765244E+01  4.24595892E-01
2.86544892E-02  6.08571548E+01  4.20305133E-01
2.90443462E-02  6.04657555E+01  4.16400820E-01
2.94342031E-02  5.92303085E+01  4.10857856E-01
2.98240601E-02  5.87999191E+01  4.05456185E-01
3.02139171E-02  5.82214737E+01  4.00604844E-01
3.06037741E-02  5.74195786E+01  4.03221995E-01
