时间,微压差
0.06,0
0.11,-1
0.16,0
0.22,0
0.27,1
0.38,1
0.45,0
0.53,-1
0.7,0
0.77,1
0.88,0
0.97,-1
1.03,0
1.08,0
1.14,1
1.19,2
1.24,1
1.3,0
1.39,-1
1.45,0
1.5,1
1.56,2
1.61,2
1.72,1
1.77,0
1.88,0
1.97,1
2.03,1
2.08,1
2.14,0
2.24,0
2.3,-1
2.41,1
2.5,1
2.56,1
2.66,0
2.72,0
2.81,1
2.88,1
2.99,1
3.08,0
3.14,-1
3.24,1
3.3,2
3.41,1
3.5,-1
3.56,-1
3.66,1
3.72,1
3.83,1
3.92,0
3.99,-1
4.08,1
4.14,2
4.19,2
4.25,1
4.34,0
4.44,0
4.5,1
4.56,1
4.61,2
4.67,1
4.75,0
4.81,0
4.86,-1
4.97,1
5.08,1
5.17,0
5.24,-1
5.33,0
5.39,1
5.44,1
5.55,1
5.61,0
5.67,-1
5.75,0
5.83,1
5.91,2
5.97,1
6.08,-1
6.17,0
6.24,1
6.33,2
6.39,1
6.44,0
6.5,-1
6.59,0
6.66,1
6.75,1
6.81,1
6.86,1
6.92,0
7.02,0
7.08,1
7.17,1
7.24,1
7.34,-1
7.44,-1
7.5,0
7.59,2
7.66,1
7.77,0
7.86,0
7.92,1
8.02,2
8.08,2
8.13,1
8.19,0
8.24,0
8.34,0
8.39,1
8.5,1
8.55,1
8.66,-1
8.77,0
8.86,1
8.92,2
8.97,1
9.08,-1
9.13,0
9.19,0
9.24,1
9.34,2
9.39,1
9.5,0
9.55,-1
9.61,0
9.66,1
9.77,2
9.86,0
9.92,-1
9.97,-1
10.03,0
10.08,0
10.13,1
10.19,1
10.24,1
10.34,0
10.39,-1
10.45,0
10.5,0
10.55,1
10.61,2
10.66,2
10.77,0
10.88,0
10.97,1
11.03,2
11.08,1
11.13,0
11.19,0
11.24,-1
11.3,-1
11.39,1
11.45,1
11.5,2
11.55,1
11.61,0
11.66,-1
11.72,0
11.81,1
11.88,1
11.97,1
12.03,0
12.08,0
12.13,-1
12.19,0
12.24,0
12.3,1
12.39,1
12.45,0
12.5,-1
12.55,0
12.61,0
12.66,0
12.72,1
12.81,1
12.88,0
12.97,-1
13.03,0
13.08,1
13.14,1
13.24,2
13.3,1
13.39,-1
13.45,0
13.5,0
13.56,1
13.66,1
13.72,0
13.81,-1
13.88,-1
13.99,1
14.08,1
14.14,1
14.24,-1
14.3,0
14.41,1
14.5,1
14.56,1
14.66,0
14.72,-1
14.83,1
14.88,1
14.99,1
15.08,-1
15.14,0
15.25,0
15.3,1
15.41,1
15.5,0
15.56,-1
15.66,1
15.72,2
15.83,1
15.88,1
15.99,-1
16.08,0
16.14,1
16.19,2
16.25,1
16.3,0
16.41,-1
16.5,0
16.56,1
16.61,2
16.67,1
16.77,0
16.83,0
16.88,0
16.99,1
17.09,1
17.14,1
17.19,0
17.25,-1
17.3,0
17.41,1
17.52,2
17.61,0
17.67,-1
17.77,0
17.83,0
17.88,1
17.94,1
18.03,0
18.09,0
18.14,-1
18.19,0
18.25,1
18.3,1
18.41,1
18.52,0
18.61,-1
18.67,0
18.77,2
18.83,1
18.88,0
18.94,0
19.03,-1
19.09,0
19.14,1
19.19,2
19.25,1
19.3,1
19.36,0
19.41,-1
19.52,1
19.61,1
19.67,1
19.78,0
19.88,-1
19.94,0
20.03,2
20.09,1
20.14,1
20.19,0
20.25,-1
20.3,0
20.36,0
20.41,0
20.52,1
20.61,0
20.69,0
20.8,0
20.89,2
20.95,1
21,1
21.05,1
21.11,0
21.16,-1
21.22,0
21.27,1
21.38,2
21.47,0
21.53,-1
21.64,0
21.69,0
21.8,1
21.89,1
21.95,0
22,-1
22.05,0
22.11,1
22.16,1
22.22,1
22.27,1
22.38,0
22.47,-1
22.53,0
22.64,2
22.69,1
22.8,0
22.89,0
22.95,0
23,1
23.06,1
23.11,2
23.16,1
23.22,0
23.27,0
23.38,0
23.49,2
23.58,0
23.64,0
23.69,0
23.8,0
23.91,2
24,1
24.06,0
24.11,-1
24.16,0
24.22,0
24.27,0
24.33,1
24.38,2
24.49,1
24.58,0
24.64,0
24.69,1
24.8,2
24.91,1
25,-1
25.06,-1
25.11,0
25.16,1
25.22,2
25.27,1
25.33,1
25.38,0
25.49,0
25.58,1
25.64,1
25.69,2
25.75,1
25.8,0
25.91,0
26,1
26.06,2
26.11,1
26.17,1
26.27,0
26.33,0
26.38,0
26.49,1
26.59,1
26.64,0
26.69,-1
26.75,0
26.8,0
26.91,1
27,1
27.06,0
27.11,0
27.17,-1
27.27,1
27.33,1
27.38,2
27.49,1
27.59,-1
27.64,-1
27.69,0
27.75,1
27.8,2
27.91,1
28.02,0
28.11,1
28.17,1
28.27,1
28.33,1
28.38,0
28.44,-1
28.53,0
28.59,1
28.64,2
28.69,1
28.75,0
28.8,0
28.86,-1
28.91,-1
29.02,1
29.11,2
29.17,1
29.28,-1
29.38,0
29.44,0
29.53,1
29.59,1
29.64,0
29.7,0
29.75,-1
29.8,0
29.86,1
29.91,2
30.02,1
30.13,0
30.22,0
30.28,0
30.38,1
30.44,1
30.53,0
30.59,-1
30.64,0
30.7,1
30.75,1
30.8,2
30.86,1
30.91,1
31.02,-1
31.13,0
31.22,2
31.28,1
31.38,0
31.44,0
31.55,0
31.64,2
31.7,1
31.75,1
31.8,0
31.86,-1
31.91,-1
31.97,1
32.02,1
32.13,2
32.22,0
32.28,-1
32.39,0
32.49,1
32.55,1
32.64,0
32.7,0
32.8,0
32.86,0
32.97,1
33.02,1
33.13,-1
33.22,-1
33.28,0
33.39,1
33.49,0
33.55,-1
33.64,-1
33.7,0
33.81,1
33.91,-1
33.97,-1
34.02,-1
34.13,-1
34.24,1
34.33,0
34.39,-1
34.49,-1
34.55,-1
34.66,0
34.75,0
34.81,-1
34.91,-2
34.97,-1
35.02,0
35.08,0
35.13,0
35.24,-2
35.33,-2
35.39,-2
35.5,0
35.59,-1
35.66,-2
35.75,-4
35.81,-3
35.91,-3
35.97,-3
36.02,-3
36.08,-5
36.13,-6
36.24,-7
36.33,-7
36.39,-7
36.5,-11
36.59,-13
36.66,-14
36.75,-15
36.81,-16
36.92,-21
37.02,-27
37.08,-29
37.13,-30
37.24,-31
37.34,-36
37.44,-42
37.5,-45
37.59,-47
37.69,-49
37.74,-51
37.84,-58
37.94,-62
38,-64
38.09,-67
38.16,-69
38.27,-73
38.36,-78
38.42,-79
38.52,-82
38.58,-84
38.63,-87
38.69,-90
38.74,-93
38.84,-95
38.94,-97
39,-99
39.11,-105
39.2,-110
39.27,-112
39.36,-115
39.42,-117
39.53,-120
39.63,-126
39.69,-127
39.74,-129
39.84,-132
39.94,-137
40,-140
40.11,-143
40.27,-146
40.36,-152
40.42,-155
40.53,-159
40.63,-162
40.69,-163
40.74,-166
40.84,-169
40.95,-174
41.05,-177
41.11,-178
41.2,-183
41.27,-187
41.38,-191
41.47,-192
41.53,-193
41.63,-198
41.69,-200
41.74,-203
41.8,-205
41.89,-207
41.95,-209
42.05,-212
42.11,-214
42.22,-219
42.27,-221
42.38,-223
42.47,-228
42.53,-231
42.64,-130
42.74,-67
42.8,-75
42.89,-85
42.95,-90
43.06,-98
43.16,-104
43.22,-106
43.27,-109
43.38,-112
43.47,-120
43.53,-122
43.64,-126
43.74,-131
43.8,-134
43.89,-141
43.95,-143
44.06,-144
44.16,-148
44.22,-151
44.27,-154
44.38,-159
44.49,-162
44.58,-167
44.64,-170
44.74,-173
44.8,-176
44.91,-179
45,-182
45.06,-186
45.16,-192
45.22,-193
45.27,-195
45.33,-195
45.38,-196
45.49,-200
45.58,-207
45.64,-209
45.75,-211
45.84,-215
45.91,-218
46,-221
46.06,-224
46.17,-227
46.27,-230
