吸水前质量/g,吸水后质量/g,吸水倍率
0.105,21.31,202.952381
0.102,18.195,178.3823529
0.106,10.404,98.1509434
0.103,10.163,98.66990291
0.102,6.559,64.30392157
0.106,5.131,48.40566038
0.103,3.189,30.96116505
0.103,10.389,100.8640777
0.109,9.98,91.55963303
0.109,11.809,108.3394495
0.109,10.679,97.97247706
0.113,9.996,88.46017699
0.105,7.815,74.42857143
0.141,10.421,73.90780142
0.131,21.463,163.8396947
0.113,20.087,177.7610619
0.139,24.343,175.1294964
0.106,20.465,193.0660377
0.113,23.03,203.8053097
0.105,22.806,217.2

